file;group;shortname
GSM429071;control;DC_1
GSM429072;control;DC_2
GSM429073;control;DC_3
GSM429074;LSD;LSD_1
GSM429075;LSD;LSD_2
GSM429076;LSD;LSD_3
GSM429077;LSD;LSD_4
